,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104730606079,10137.269721746445
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.61345648765564
2,2019-02-28,SELL,NVDA,12749,3.853978395462036,49143.984020233154
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.57574462890625
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.20207977295
5,2019-03-29,SELL,NVDA,25169,4.400113582611084,162996.66084051132
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,3.958117961883545
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.5109744072
8,2019-04-30,SELL,NVDA,18473,4.451748371124268,227104.6586341858
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.178661346435547
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.86983966827
11,2019-05-31,BUY,NVDA,38294,3.4572551250457764,66084.74208116531
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,6.972313404083252
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52300.0921254158
14,2019-06-28,BUY,NVDA,12892,4.056702136993408,1.0881752967834473
15,2019-07-31,SELL,NVDA,931,4.3604021072387695,4060.622537136078
16,2019-07-31,BUY,TSLA,251,16.150667190551758,6.80507230758667
17,2019-08-16,SELL,TSLA,1997,14.37600040435791,28715.677879810333
18,2019-08-30,BUY,NVDA,355,4.154506683349609,27240.828007221222
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,14.838831424713135
20,2019-09-30,SELL,NVDA,2049,4.272922039031982,8770.056089401245
21,2019-09-30,BUY,TSLA,543,16.142000198364258,4.949981689453125
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19514.570156097412
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15725.719997406006
24,2019-10-31,BUY,NVDA,3061,5.050086975097656,267.4037666320801
25,2019-11-29,SELL,TSLA,1456,22.086000442504883,32424.62041091919
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28633.460498809814
27,2019-11-29,BUY,NVDA,5232,5.433222770690918,206.83896255493164
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1176.768955230713
29,2019-12-31,SELL,NVDA,11760,5.783753871917725,69193.71448898315
30,2019-12-31,BUY,CSCO,1699,40.72336196899414,4.722503662109375
